well,row,col,X_mm,Y_mm,SX_pulse,Y1_pulse
D8,D,8,68.5,32.5,22510.000000000007,46054.99999999998
D9,D,9,77.5,32.5,24760.000000000007,48679.99999999998
D10,D,10,86.5,32.5,27010.000000000007,51304.99999999998
D11,D,11,95.5,32.5,29260.000000000007,53929.99999999998
D12,D,12,104.5,32.5,31510.000000000007,56554.99999999998
E1,E,1,5.5,41.5,6760.000000000002,29929.99999999997
E2,E,2,14.5,41.5,9010.000000000004,32554.99999999997
E3,E,3,23.5,41.5,11260.000000000004,35179.99999999997
E4,E,4,32.5,41.5,13510.000000000004,37804.99999999997
E5,E,5,41.5,41.5,15760.000000000004,40429.99999999997
E6,E,6,50.5,41.5,18010.000000000007,43054.99999999997
E7,E,7,59.5,41.5,20260.000000000007,45679.99999999997
E8,E,8,68.5,41.5,22510.000000000007,48304.99999999997
E9,E,9,77.5,41.5,24760.000000000007,50929.99999999997
E10,E,10,86.5,41.5,27010.000000000007,53554.99999999997
E11,E,11,95.5,41.5,29260.000000000007,56179.99999999997
E12,E,12,104.5,41.5,31510.000000000007,58804.99999999997
F1,F,1,5.5,50.5,6760.000000000002,32179.999999999967
F2,F,2,14.5,50.5,9010.000000000004,34804.99999999997
F3,F,3,23.5,50.5,11260.000000000004,37429.99999999997
F4,F,4,32.5,50.5,13510.000000000004,40054.99999999997
F5,F,5,41.5,50.5,15760.000000000004,42679.99999999997
F6,F,6,50.5,50.5,18010.000000000007,45304.99999999997
F7,F,7,59.5,50.5,20260.000000000007,47929.99999999997
F8,F,8,68.5,50.5,22510.000000000007,50554.99999999996
F9,F,9,77.5,50.5,24760.000000000007,53179.99999999996
F10,F,10,86.5,50.5,27010.000000000007,55804.99999999996
F11,F,11,95.5,50.5,29260.000000000007,58429.99999999996
F12,F,12,104.5,50.5,31510.000000000007,61054.99999999996
G1,G,1,5.5,59.5,6760.000000000002,34429.99999999996
G2,G,2,14.5,59.5,9010.000000000004,37054.99999999996
G3,G,3,23.5,59.5,11260.000000000004,39679.999999999956
G4,G,4,32.5,59.5,13510.000000000004,42304.999999999956
G5,G,5,41.5,59.5,15760.000000000004,44929.999999999956
G6,G,6,50.5,59.5,18010.000000000007,47554.999999999956
G7,G,7,59.5,59.5,20260.000000000007,50179.999999999956
G8,G,8,68.5,59.5,22510.000000000007,52804.999999999956
G9,G,9,77.5,59.5,24760.000000000007,55429.999999999956
G10,G,10,86.5,59.5,27010.000000000007,58054.999999999956
G11,G,11,95.5,59.5,29260.000000000007,60679.999999999956
G12,G,12,104.5,59.5,31510.000000000007,63304.999999999956
H1,H,1,5.5,68.5,6760.000000000002,36679.999999999956
H2,H,2,14.5,68.5,9010.000000000004,39304.999999999956
H3,H,3,23.5,68.5,11260.000000000004,41929.999999999956
H4,H,4,32.5,68.5,13510.000000000004,44554.999999999956
H5,H,5,41.5,68.5,15760.000000000004,47179.999999999956
H6,H,6,50.5,68.5,18010.000000000007,49804.999999999956
H7,H,7,59.5,68.5,20260.000000000007,52429.999999999956
H8,H,8,68.5,68.5,22510.000000000007,55054.99999999995
H9,H,9,77.5,68.5,24760.000000000007,57679.99999999995
H10,H,10,86.5,68.5,27010.000000000007,60304.99999999995
H11,H,11,95.5,68.5,29260.000000000007,62929.99999999995
H12,H,12,104.5,68.5,31510.000000000007,65554.99999999994
